row,debt,dividend,earnings,inflation,markets,bonds,FTSE,financial markets,investment,derivatives,economy,stocks,economics,leverage,risk,short selling,credit,price
157,61.12,46,76,75,59,45,19,20,92,95,64,73,59,73,87,33,57,7505.03
158,60.14,52,66,67,74,33,17,23,98,67,69,72,61,81,90,24,56,7560.35
159,60.15,46,73,78,80,29,17,20,90,77,71,68,63,89,90,18,58,7432.99
160,61.13,52,66,70,82,26,15,15,88,52,68,66,59,74,87,40,59,7380.68
161,59.7,48,61,69,88,38,17,19,91,65,66,70,61,80,89,37,56,7409.64
162,58.6,46,61,62,80,35,18,20,94,60,62,72,64,92,89,41,55,7300.49
163,49.4,44,56,83,62,24,18,20,86,50,57,77,49,79,83,39,53,7393.96
164,45,44,58,57,57,20,20,14,77,53,52,73,34,60,65,37,54,7490.57
165,35.1,32,52,39,24,19,12,12,54,24,43,65,24,46,42,27,43,7592.66
166,54.7,51,67,60,27,53,17,19,78,55,58,83,41,83,64,53,57,7687.77
167,64.9,66,71,70,30,32,21,22,99,61,68,88,62,70,89,36,64,7724.22
168,67.1,59,73,79,29,33,19,17,88,71,64,76,59,79,86,100,62,7778.64
169,66.6,58,83,65,27,30,18,17,94,61,65,74,55,74,89,87,62,7730.79
170,64.1,61,95,68,30,45,18,18,90,77,67,74,52,86,83,90,61,7665.54
171,63.11,48,70,72,38,35,42,27,91,76,69,92,54,82,86,80,60,7443.43
172,62.8,45,67,79,28,26,29,20,84,66,63,69,44,71,83,66,59,7092.43
173,67.2,64,72,69,29,24,23,16,88,74,64,82,53,63,90,54,61,7294.7
174,52.8,44,59,59,24,38,20,15,81,51,57,60,45,68,86,59,56,7244.41
175,63.12,52,63,74,28,31,21,22,86,71,68,67,53,76,90,46,63,7069.9
176,66.7,55,67,76,29,24,20,15,88,64,67,64,55,81,90,38,63,7224.51
177,63.13,52,63,90,28,24,23,21,90,65,70,76,52,66,90,27,64,7164.14
178,55.8,49,65,64,31,24,22,22,77,56,62,72,45,68,78,30,60,6921.94
179,54.8,57,71,61,31,54,20,12,76,42,54,68,38,65,70,22,60,7056.61
180,60.16,54,82,63,30,25,23,17,86,63,60,67,43,78,83,52,64,7183.64
181,65.3,54,75,88,28,22,24,19,82,69,64,62,56,82,90,34,61,7264.56
182,62.9,57,92,69,30,23,24,19,87,59,64,64,59,85,91,30,65,7368.17
183,63.14,52,85,69,33,44,25,15,88,56,64,60,64,76,93,38,68,7502.21
184,55.9,54,71,66,31,24,22,18,77,59,58,58,60,74,83,46,64,7567.14
185,59.8,61,66,69,28,23,25,17,84,63,63,65,62,64,87,26,65,7724.55
186,60.17,61,63,66,31,22,27,23,84,56,60,69,56,60,80,37,66,7778.79
187,69.6,50,55,49,32,30,23,15,76,59,61,68,54,60,68,35,64,7730.28
188,66.8,51,60,58,31,29,24,20,80,47,59,71,67,64,79,35,68,7701.77
189,66.9,38,56,61,28,22,24,20,77,37,63,61,64,66,79,35,66,7681.07
190,56.6,43,54,53,29,20,23,16,74,54,54,58,37,81,75,40,67,7633.91
191,54.9,41,55,47,28,19,25,10,70,51,51,58,35,72,73,60,63,7682.27
192,55.1,38,56,44,28,43,22,12,70,50,46,53,31,71,71,43,67,7636.93
193,54.1,38,62,44,29,20,24,10,72,41,53,59,26,85,71,39,69,7617.7
194,72.1,42,75,52,33,20,23,14,79,43,54,61,29,83,70,39,69,7661.87
195,56.7,44,80,54,33,19,23,15,76,44,50,75,26,91,70,37,68,7678.79
196,62.1,61,79,51,36,38,23,16,79,53,54,71,26,100,64,44,75,7701.31
197,60.18,52,63,49,38,23,25,16,78,55,55,70,26,94,67,55,71,7659.1
198,60.19,51,63,63,42,23,24,12,81,50,55,70,43,77,67,71,72,7667.01
199,63.15,42,65,54,42,22,22,16,76,50,56,62,34,54,66,40,71,7558.59
200,59.9,49,59,52,43,24,18,16,73,42,58,68,32,54,59,44,69,7577.49
201,63.16,48,60,56,45,51,21,18,84,46,62,68,45,61,71,28,75,7432.42
202,64.11,44,62,60,51,26,21,14,88,47,70,75,54,70,77,41,76,7277.7
203,65.4,48,57,68,50,24,21,16,86,59,66,71,53,67,78,38,76,7304.04
204,66.1,49,72,59,51,29,21,17,92,64,65,67,59,68,79,49,74,7490.23
205,67.3,46,63,63,54,46,20,22,93,60,68,69,62,58,84,70,75,7510.2
206,62.11,45,64,59,60,28,29,29,96,94,66,73,58,53,91,59,77,7318.54
207,64.12,41,75,74,61,28,28,21,93,68,67,71,57,77,87,41,78,6995.91
208,68.1,45,84,50,63,25,30,18,91,66,65,66,48,73,82,45,76,7049.8
209,70.2,54,81,64,67,43,31,23,94,60,65,74,47,81,83,32,77,6939.56
210,65.5,50,68,60,83,31,27,15,91,85,63,69,52,62,92,38,78,7094.12
211,67.4,44,63,60,92,27,29,18,86,81,63,64,51,80,89,47,78,7105.34
212,63.17,43,58,60,96,24,26,21,81,52,64,58,49,71,85,60,79,7013.88
213,62.12,42,64,60,96,28,27,25,83,53,68,65,56,66,87,35,81,6952.86
214,62.13,41,65,63,90,51,33,24,84,65,62,65,52,79,86,42,79,6980.24
215,60.2,42,63,61,82,24,35,24,79,50,62,65,49,56,86,40,81,6778.11
216,52.9,38,67,59,66,21,31,8,70,50,57,70,32,47,70,57,82,6845.17
217,36,27,49,37,34,20,22,13,47,16,43,62,19,31,40,30,57,6721.17
218,55.11,43,59,54,26,48,26,14,63,46,63,71,30,50,57,70,73,6733.97
219,73.1,57,75,63,29,30,33,17,90,63,92,76,49,76,87,52,88,6837.42
220,71.1,60,76,70,30,28,32,14,90,46,77,72,53,74,88,30,88,6918.18
221,69.7,58,77,70,28,28,29,18,90,48,73,73,48,79,92,30,87,6968.33
222,66.11,58,83,61,26,37,29,18,87,60,69,72,45,55,86,43,87,6809.22
223,72.2,51,72,64,28,39,31,18,92,65,70,79,52,70,89,66,93,7020.22
224,68.2,57,73,76,28,26,32,17,84,62,61,69,48,64,85,89,89,7071.18
225,64.13,69,66,66,28,26,30,13,89,66,60,77,39,67,83,69,91,7236.68
226,67.5,58,70,62,27,46,29,22,86,60,64,76,50,65,89,41,93,7178.6
227,66.12,58,76,66,27,41,27,14,95,61,63,78,49,83,94,37,89,7106.73
228,65.6,58,60,72,27,26,30,14,86,51,59,69,49,77,89,39,88,7104.31
229,71.2,59,74,75,29,26,31,15,85,53,61,72,51,62,89,51,90,7228.28
230,66.13,60,67,72,28,25,31,17,90,51,59,69,50,63,91,35,91,7207.59
231,69.8,64,75,67,27,40,32,18,91,49,61,77,43,77,92,53,98,7279.19
232,67.6,63,74,61,30,25,30,16,88,51,59,72,40,65,87,45,96,7446.87
233,57.5,55,75,58,29,20,25,11,77,50,50,67,35,62,76,15,88,7437.06
234,61.14,51,87,61,31,23,23,12,81,49,55,75,45,62,80,26,93,7459.88
235,65.7,58,91,68,30,41,25,14,87,50,58,70,55,75,92,35,96,7428.19
236,60.21,58,73,61,32,27,22,16,86,63,56,67,55,66,83,47,89,7380.64
237,65.8,64,69,62,30,24,26,15,86,46,57,71,67,81,89,48,94,7203.29
238,67.7,60,66,66,31,22,25,19,80,66,55,67,75,76,82,32,91,7348.62
239,56.8,46,62,53,30,25,20,13,76,44,51,61,38,66,70,37,84,7277.73
240,65.9,50,63,55,30,51,24,15,87,49,52,68,51,72,79,32,92,7161.71
241,62.14,52,62,54,29,23,25,17,84,46,53,76,38,72,81,40,97,7331.94
242,64.14,50,61,53,30,20,25,14,86,38,49,69,35,85,80,23,92,7345.78
243,61.15,45,63,51,31,21,24,13,88,42,52,64,39,71,78,36,92,7407.5
244,65.1,48,70,52,32,39,29,12,89,47,50,67,31,61,75,34,98,7425.63
245,64.15,49,80,52,30,24,24,15,85,52,50,69,29,87,76,39,97,7553.14
246,66.14,45,82,55,30,21,25,14,82,41,48,67,26,70,70,25,95,7505.97
247,59.1,45,85,53,32,18,28,12,73,47,48,62,26,66,65,31,92,7508.7
248,63.18,60,76,53,34,36,30,9,75,94,51,70,26,59,60,31,99,7549.06
249,59.11,52,63,50,35,25,33,15,79,50,51,68,23,64,66,62,96,7407.06
250,65.11,51,61,57,42,23,33,16,85,51,54,72,40,57,68,71,96,7253.85
251,64.16,45,59,52,38,22,29,11,79,55,53,67,35,59,70,31,98,7117.15
252,62.15,49,64,45,40,24,25,7,75,35,52,67,34,57,67,49,92,7094.98
253,65.12,52,64,54,44,47,30,14,86,48,57,64,43,59,73,24,100,7207.18
254,66.15,63,59,58,50,27,26,16,81,44,62,70,51,75,78,38,98,7282.34
255,60.22,50,57,59,47,26,23,19,83,55,59,66,47,62,80,33,97,7367.46
256,68.3,50,62,51,49,25,24,17,82,54,60,64,53,67,81,56,92,7344.92
257,64.17,46,62,57,55,44,29,16,84,57,61,68,55,67,88,45,97,7426.21
258,75.1,46,57,56,60,29,27,17,95,54,66,70,57,57,92,46,96,7155.38
259,68.4,49,72,70,64,27,30,19,96,63,64,70,59,70,94,50,99,7247.08
